year,country,sector,M,D,OUT,Mw,Dw,TLS
1995,IRL,B06,20.061700,11.439700,33.988100,1.709800,0.000900,0.637600
1995,IRL,B0609,53.719900,33.741100,79.000200,2.757400,0.002300,1.979600
1995,IRL,F,79485.573500,60771.508800,144068.238900,607.844900,36.966700,2155.840300
1995,IRL,F09,79451.915300,60749.207400,144023.226800,606.797300,36.965300,2154.498300
1995,ISL,B06,0.122200,0.092700,0.386300,0.019300,0.014000,0.009100
1995,ISL,B0609,0.122200,0.092700,0.386300,0.019300,0.014000,0.009100
1995,ISL,F,5777.932600,4711.430800,11921.256800,208.030000,159.348400,304.085900
1995,ISL,F09,5777.932600,4711.430800,11921.256800,208.030000,159.348400,304.085900
1995,ISR,B06,60.024700,39.843300,191.594300,4.375800,1.879300,4.352500
1995,ISR,B0609,84.618100,57.939500,245.648300,5.002100,2.176000,6.050100
1995,ISR,F,65913.133300,49592.259000,161916.359600,895.355900,490.327500,3259.799600
1995,ISR,F09,65888.539900,49574.162800,161862.305600,894.729600,490.030800,3258.102000
1995,ITA,B06,3103.301000,1984.724100,8231.260900,607.377400,4.096800,75.963800
1995,ITA,B0609,3125.604400,2001.124600,8467.805100,611.303200,4.122000,77.282200
1995,ITA,F,1101005.447600,955536.764900,2193024.929300,10811.345200,3501.367700,35541.628000
1995,ITA,F09,1100983.144200,955520.364400,2192788.385100,10807.419400,3501.342500,35540.309600
1995,JOR,B06,23.431400,14.128400,60.785800,1.497700,0.001000,0.646600
1995,JOR,B0609,41.421900,25.673100,107.967900,2.011700,0.002400,1.343500
1995,JOR,F,6460.227500,3995.998000,12531.193800,55.775200,6.812100,246.991000
1995,JOR,F09,6442.237000,3984.453300,12484.011700,55.261200,6.810700,246.294100
1995,JPN,B06,382.751100,373.511300,1023.490000,0.487400,0.480400,12.712100
1995,JPN,B0609,1852.805200,1751.251300,3803.007300,6.088000,3.027700,143.068800
1995,JPN,F,4245780.738400,4022035.896100,9602842.420500,26605.323900,18159.288500,134317.205800
1995,JPN,F09,4244310.684300,4020658.156100,9600062.903200,26599.723300,18156.741200,134186.849100
1995,KAZ,B06,5121.127500,4441.403200,8459.124200,15.820100,10.531200,140.159400
1995,KAZ,B0609,5355.805800,4639.643100,8865.904900,16.245600,10.818000,161.124700
1995,KAZ,F,17727.042600,14384.577500,34709.022600,34.597900,22.873100,469.541500
1995,KAZ,F09,17492.364300,14186.337600,34302.241900,34.172400,22.586300,448.576200
1995,KHM,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
